College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST,district
2735,"Karpagam Institute Of Technology (Autonomous), S.F. No. 247,248, L&T Bypass Road, Seerapalayam Village, Bodipalayam Post, Coimbatore-641105.",AD,Artificial Intelligence And Data Science,184,182.5,174.5,182.5,157.5,158,0,Coimbatore
2735,"Karpagam Institute Of Technology (Autonomous), S.F. No. 247,248, L&T Bypass Road, Seerapalayam Village, Bodipalayam Post, Coimbatore-641105.",CS,Computer Science And Engineering,182,179.5,172.5,177.5,145,133,158,Coimbatore
2735,"Karpagam Institute Of Technology (Autonomous), S.F. No. 247,248, L&T Bypass Road, Seerapalayam Village, Bodipalayam Post, Coimbatore-641105.",EC,Electronics And Communication Engineering,176,173,164.5,170.5,133,130,100,Coimbatore
2735,"Karpagam Institute Of Technology (Autonomous), S.F. No. 247,248, L&T Bypass Road, Seerapalayam Village, Bodipalayam Post, Coimbatore-641105.",EE,Electrical And Electronics Engineering,170,166,167.5,162.5,134.5,126.5,0,Coimbatore
2735,"Karpagam Institute Of Technology (Autonomous), S.F. No. 247,248, L&T Bypass Road, Seerapalayam Village, Bodipalayam Post, Coimbatore-641105.",IT,Information Technology,180.5,178.5,0,176.5,142.5,132.5,0,Coimbatore
2735,"Karpagam Institute Of Technology (Autonomous), S.F. No. 247,248, L&T Bypass Road, Seerapalayam Village, Bodipalayam Post, Coimbatore-641105.",ME,Mechanical Engineering,156.5,150,0,136,117.5,115,0,Coimbatore
2736,"Dr N.G.P. Institute Of Technology (Autonomous), Dr. N.G.P. Nagar, Kalapatti Road, Coimbatore-641048.",AD,Artificial Intelligence And Data Science,180.5,173,154,168,128.5,0,0,Coimbatore
2736,"Dr N.G.P. Institute Of Technology (Autonomous), Dr. N.G.P. Nagar, Kalapatti Road, Coimbatore-641048.",BM,Bio Medical Engineering,167,152.5,133.5,157,0,0,0,Coimbatore
2736,"Dr N.G.P. Institute Of Technology (Autonomous), Dr. N.G.P. Nagar, Kalapatti Road, Coimbatore-641048.",CB,Computer Science And Bussiness System,171,170,161,157.5,112,0,0,Coimbatore
2736,"Dr N.G.P. Institute Of Technology (Autonomous), Dr. N.G.P. Nagar, Kalapatti Road, Coimbatore-641048.",CE,Civil  Engineering,154,148.5,0,120.5,0,0,0,Coimbatore
2736,"Dr N.G.P. Institute Of Technology (Autonomous), Dr. N.G.P. Nagar, Kalapatti Road, Coimbatore-641048.",CS,Computer Science And Engineering,180,175.5,158,168.5,120.5,123,0,Coimbatore
2736,"Dr N.G.P. Institute Of Technology (Autonomous), Dr. N.G.P. Nagar, Kalapatti Road, Coimbatore-641048.",EC,Electronics And Communication Engineering,175.5,170.5,162,159,100.5,0,130,Coimbatore
2736,"Dr N.G.P. Institute Of Technology (Autonomous), Dr. N.G.P. Nagar, Kalapatti Road, Coimbatore-641048.",EE,Electrical And Electronics Engineering,168,165,159.5,156,0,0,0,Coimbatore
2736,"Dr N.G.P. Institute Of Technology (Autonomous), Dr. N.G.P. Nagar, Kalapatti Road, Coimbatore-641048.",IT,Information Technology,174.5,172.5,159,166.5,97,0,94,Coimbatore
2736,"Dr N.G.P. Institute Of Technology (Autonomous), Dr. N.G.P. Nagar, Kalapatti Road, Coimbatore-641048.",ME,Mechanical Engineering,152.5,138,146.5,138.5,0,0,0,Coimbatore
2736,"Dr N.G.P. Institute Of Technology (Autonomous), Dr. N.G.P. Nagar, Kalapatti Road, Coimbatore-641048.",SC,Computer Science And Engineering (Cyber Security),175.5,172,162.5,164.5,119.5,0,0,Coimbatore
2737,"Sri Sai Ranganathan Engineering College , Viraliyur Post, Thondamuthur(Via), Coimbatore-641109.",AD,Artificial Intelligence And Data Science,172.5,133,119.5,129,127,147,0,Coimbatore
2737,"Sri Sai Ranganathan Engineering College , Viraliyur Post, Thondamuthur(Via), Coimbatore-641109.",AM,Computer Science And Engineering (Ai And Machine Learning),129,113.5,94,95,118,0,0,Coimbatore
2737,"Sri Sai Ranganathan Engineering College , Viraliyur Post, Thondamuthur(Via), Coimbatore-641109.",CE,Civil  Engineering,0,0,0,0,0,0,0,Coimbatore
2737,"Sri Sai Ranganathan Engineering College , Viraliyur Post, Thondamuthur(Via), Coimbatore-641109.",CS,Computer Science And Engineering,157,131,0,105.5,121.5,105,138,Coimbatore
2737,"Sri Sai Ranganathan Engineering College , Viraliyur Post, Thondamuthur(Via), Coimbatore-641109.",EC,Electronics And Communication Engineering,138,106,0,98,124,113,0,Coimbatore
2737,"Sri Sai Ranganathan Engineering College , Viraliyur Post, Thondamuthur(Via), Coimbatore-641109.",EE,Electrical And Electronics Engineering,123,100.5,0,0,100.5,0,0,Coimbatore
2737,"Sri Sai Ranganathan Engineering College , Viraliyur Post, Thondamuthur(Via), Coimbatore-641109.",IT,Information Technology,158.5,133,0,83,134,93.5,0,Coimbatore
2737,"Sri Sai Ranganathan Engineering College , Viraliyur Post, Thondamuthur(Via), Coimbatore-641109.",ME,Mechanical Engineering,94.5,0,0,0,83,0,0,Coimbatore
2737,"Sri Sai Ranganathan Engineering College , Viraliyur Post, Thondamuthur(Via), Coimbatore-641109.",SC,Computer Science And Engineering (Cyber Security),148,124.5,0,102,121.5,0,0,Coimbatore
2739,"Sri Eshwar College Of Engineering (Autonomous), Kondampatti Post, Vadasithur Via, Coimbatore-641202.",AD,Artificial Intelligence And Data Science,187.5,184,176,179,149,171,130.5,Coimbatore
2739,"Sri Eshwar College Of Engineering (Autonomous), Kondampatti Post, Vadasithur Via, Coimbatore-641202.",AM,Computer Science And Engineering (Ai And Machine Learning),185.5,182,176.5,175,139,146,146,Coimbatore
2739,"Sri Eshwar College Of Engineering (Autonomous), Kondampatti Post, Vadasithur Via, Coimbatore-641202.",CB,Computer Science And Bussiness System,182.5,180.5,175.5,174.5,144,162,0,Coimbatore
2739,"Sri Eshwar College Of Engineering (Autonomous), Kondampatti Post, Vadasithur Via, Coimbatore-641202.",CO,Computer And  Communication Engineering,181,180,176.5,176.5,138.5,142.5,152,Coimbatore
2739,"Sri Eshwar College Of Engineering (Autonomous), Kondampatti Post, Vadasithur Via, Coimbatore-641202.",CS,Computer Science And Engineering,191,188,179,181,156,133.5,155,Coimbatore
2739,"Sri Eshwar College Of Engineering (Autonomous), Kondampatti Post, Vadasithur Via, Coimbatore-641202.",EC,Electronics And Communication Engineering,187,183.5,182.5,177.5,140.5,132.5,155.5,Coimbatore
2739,"Sri Eshwar College Of Engineering (Autonomous), Kondampatti Post, Vadasithur Via, Coimbatore-641202.",EE,Electrical And Electronics Engineering,179,177.5,178.5,172.5,139.5,140,0,Coimbatore
2739,"Sri Eshwar College Of Engineering (Autonomous), Kondampatti Post, Vadasithur Via, Coimbatore-641202.",IT,Information Technology,188,186.5,181.5,179.5,142.5,140.5,0,Coimbatore
2739,"Sri Eshwar College Of Engineering (Autonomous), Kondampatti Post, Vadasithur Via, Coimbatore-641202.",ME,Mechanical Engineering,178.5,172.5,174.5,166,137,138,0,Coimbatore
2739,"Sri Eshwar College Of Engineering (Autonomous), Kondampatti Post, Vadasithur Via, Coimbatore-641202.",SC,Computer Science And Engineering (Cyber Security),184,181,180.5,175.5,139,139.5,0,Coimbatore
2740,"Hindusthan Institute Of Technology (Autonomous), Othakkalmandapam Post, Coimbatore-641032.",AD,Artificial Intelligence And Data Science,179,165.5,161.5,159.385,130,108,0,Coimbatore
2740,"Hindusthan Institute Of Technology (Autonomous), Othakkalmandapam Post, Coimbatore-641032.",AE,Aeronautical Engineering,151,138.5,144,137.5,139,0,126.5,Coimbatore
2740,"Hindusthan Institute Of Technology (Autonomous), Othakkalmandapam Post, Coimbatore-641032.",CS,Computer Science And Engineering,177.5,161.5,176,157.5,120.5,0,0,Coimbatore
2740,"Hindusthan Institute Of Technology (Autonomous), Othakkalmandapam Post, Coimbatore-641032.",EC,Electronics And Communication Engineering,163,153.5,156,148.5,89.5,0,135,Coimbatore
2740,"Hindusthan Institute Of Technology (Autonomous), Othakkalmandapam Post, Coimbatore-641032.",IT,Information Technology,175.5,158.5,151.5,157,122.5,116,0,Coimbatore
2740,"Hindusthan Institute Of Technology (Autonomous), Othakkalmandapam Post, Coimbatore-641032.",ME,Mechanical Engineering,133.5,118,123,111,0,0,105.5,Coimbatore
2741,"P A College Of Engineering And Technology (Autonomous), Palladam Road, Pollachi, Coimbatore Dt.-642002.",AD,Artificial Intelligence And Data Science,145.5,134,0,117,0,129,0,Coimbatore 
2741,"P A College Of Engineering And Technology (Autonomous), Palladam Road, Pollachi, Coimbatore Dt.-642002.",CE,Civil  Engineering,109,0,0,0,0,82.5,0,Coimbatore 
2741,"P A College Of Engineering And Technology (Autonomous), Palladam Road, Pollachi, Coimbatore Dt.-642002.",CS,Computer Science And Engineering,156.5,145,115,130.5,0,119.5,0,Coimbatore
2741,"P A College Of Engineering And Technology (Autonomous), Palladam Road, Pollachi, Coimbatore Dt.-642002.",EC,Electronics And Communication Engineering,135.5,124.5,94,109,0,114,0,Coimbatore 
2741,"P A College Of Engineering And Technology (Autonomous), Palladam Road, Pollachi, Coimbatore Dt.-642002.",EE,Electrical And Electronics Engineering,123.5,109.5,116,91.5,0,116.5,0,Coimbatore
2741,"P A College Of Engineering And Technology (Autonomous), Palladam Road, Pollachi, Coimbatore Dt.-642002.",IT,Information Technology,145,133,119,114.5,125,144.5,0,Coimbatore 
2741,"P A College Of Engineering And Technology (Autonomous), Palladam Road, Pollachi, Coimbatore Dt.-642002.",ME,Mechanical Engineering,107.5,0,106,0,0,89.5,0,Coimbatore
2743,"Dhanalakshmi Srinivasan College Of Engineering (Cbe), Nh-47, Palakkad Main Road, Navakkarai Post, Coimbatore-641105.",AD,Artificial Intelligence And Data Science,159,144,143,143,98.5,0,106,Coimbatore
2743,"Dhanalakshmi Srinivasan College Of Engineering (Cbe), Nh-47, Palakkad Main Road, Navakkarai Post, Coimbatore-641105.",AG,Agricultural Engineering,133,101.5,0,115,130,0,0,Coimbatore
2743,"Dhanalakshmi Srinivasan College Of Engineering (Cbe), Nh-47, Palakkad Main Road, Navakkarai Post, Coimbatore-641105.",BM,Bio Medical Engineering,139,102,132,99.5,102,0,121,Coimbatore
2743,"Dhanalakshmi Srinivasan College Of Engineering (Cbe), Nh-47, Palakkad Main Road, Navakkarai Post, Coimbatore-641105.",CE,Civil  Engineering,125.5,0,0,0,0,0,0,Coimbatore
2743,"Dhanalakshmi Srinivasan College Of Engineering (Cbe), Nh-47, Palakkad Main Road, Navakkarai Post, Coimbatore-641105.",CS,Computer Science And Engineering,156.5,144,137,140,106.5,124.5,0,Coimbatore
2743,"Dhanalakshmi Srinivasan College Of Engineering (Cbe), Nh-47, Palakkad Main Road, Navakkarai Post, Coimbatore-641105.",EC,Electronics And Communication Engineering,150,142,138,139,110,123.5,0,Coimbatore
2743,"Dhanalakshmi Srinivasan College Of Engineering (Cbe), Nh-47, Palakkad Main Road, Navakkarai Post, Coimbatore-641105.",EE,Electrical And Electronics Engineering,139,128,120,132,0,0,0,Coimbatore
2743,"Dhanalakshmi Srinivasan College Of Engineering (Cbe), Nh-47, Palakkad Main Road, Navakkarai Post, Coimbatore-641105.",FD,Food Technology,136,114.5,126,92.5,104,127.5,0,Coimbatore
2743,"Dhanalakshmi Srinivasan College Of Engineering (Cbe), Nh-47, Palakkad Main Road, Navakkarai Post, Coimbatore-641105.",ME,Mechanical Engineering,132,96.5,126,103,107.5,122,0,Coimbatore
2743,"Dhanalakshmi Srinivasan College Of Engineering (Cbe), Nh-47, Palakkad Main Road, Navakkarai Post, Coimbatore-641105.",SC,Computer Science And Engineering (Cyber Security),153.5,143.5,151.5,143,112.5,107,0,Coimbatore
2744,"Adithya Institute Of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, Ss Kulam(Po), Coimbatore-641107.",AD,Artificial Intelligence And Data Science,158,148,156,144.5,0,0,0,Coimbatore
2744,"Adithya Institute Of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, Ss Kulam(Po), Coimbatore-641107.",CE,Civil  Engineering,112.5,0,0,0,84,106,0,Coimbatore
2744,"Adithya Institute Of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, Ss Kulam(Po), Coimbatore-641107.",CS,Computer Science And Engineering,159,147.5,139.5,142.5,0,0,0,Coimbatore
2744,"Adithya Institute Of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, Ss Kulam(Po), Coimbatore-641107.",EC,Electronics And Communication Engineering,152.5,146,101,141,0,0,0,Coimbatore
2744,"Adithya Institute Of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, Ss Kulam(Po), Coimbatore-641107.",EE,Electrical And Electronics Engineering,144.5,142,0,125.5,101,0,0,Coimbatore
2744,"Adithya Institute Of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, Ss Kulam(Po), Coimbatore-641107.",IT,Information Technology,155.5,149,135.5,141.5,0,0,0,Coimbatore
2744,"Adithya Institute Of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, Ss Kulam(Po), Coimbatore-641107.",ME,Mechanical Engineering,110.5,0,108,0,0,0,84.5,Coimbatore
2745,"Kathir College Of Engineering (Autonomous), Wisdom Tree, Avinashi Road, Neelambur, Coimbatore-641062.",AD,Artificial Intelligence And Data Science,151,141,127.5,136,138,110,129.5,Coimbatore
2745,"Kathir College Of Engineering (Autonomous), Wisdom Tree, Avinashi Road, Neelambur, Coimbatore-641062.",AM,Computer Science And Engineering (Ai And Machine Learning),143.5,137.5,0,133,116,89.5,122,Coimbatore
2745,"Kathir College Of Engineering (Autonomous), Wisdom Tree, Avinashi Road, Neelambur, Coimbatore-641062.",CO,Computer And  Communication Engineering,136,126.5,112.5,131,112.5,0,0,Coimbatore
2745,"Kathir College Of Engineering (Autonomous), Wisdom Tree, Avinashi Road, Neelambur, Coimbatore-641062.",CS,Computer Science And Engineering,152.5,143.5,136,142.5,104.5,126,0,Coimbatore
2745,"Kathir College Of Engineering (Autonomous), Wisdom Tree, Avinashi Road, Neelambur, Coimbatore-641062.",EC,Electronics And Communication Engineering,147.5,127,128.5,140.5,110,120,0,Coimbatore
2745,"Kathir College Of Engineering (Autonomous), Wisdom Tree, Avinashi Road, Neelambur, Coimbatore-641062.",EE,Electrical And Electronics Engineering,127.5,112,93,117,85,102.5,0,Coimbatore
2745,"Kathir College Of Engineering (Autonomous), Wisdom Tree, Avinashi Road, Neelambur, Coimbatore-641062.",ME,Mechanical Engineering,117.5,99.5,0,102,96.5,111.5,0,Coimbatore
2747,"Shree Venkateshwara Hi-Tech Engineering College (Autonomous), Erode-Sathy Main Road,Sri Kalaivani Nagar, Othakuthirai,K, Mettupalayam (Po), Gobichettipalayam (Tk), Erode (Dt)-638455.",AD,Artificial Intelligence And Data Science,139,114,92.5,122,97,126.5,0,Erode
